"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X3.alpha..or.20.beta..hydroxysteroid.dehydrogenase..1.1.1.53.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ribitol.2.dehydrogenase..1.1.1.56.","0","0","0","1","1","0","0","0","0","0","0","0","2","1","0","0","0"
"Fructuronate.reductase..1.1.1.57.","0","0","0","7","5","0","0","2","3","5","8","6","7","7","6","3","2"
"Tagaturonate.reductase..1.1.1.58."," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 4"," 0"," 0"," 2"," 3","14"," 0"," 4"," 3"," 0"
"Glycerol.dehydrogenase..1.1.1.6.","0","0","1","2","0","3","1","2","4","3","5","4","4","2","9","5","0"
"X2.hydroxy.3.oxopropionate.reductase..1.1.1.60.","0","0","0","0","0","0","0","0","1","0","3","0","8","1","4","8","0"
"X4.hydroxybutyrate.dehydrogenase..1.1.1.61.","0","2","0","0","0","0","0","0","0","0","1","2","1","0","0","2","0"
"X17.beta.estradiol.17.dehydrogenase..1.1.1.62.","0","0","0","0","1","0","2","1","1","0","9","0","4","6","2","2","2"
"Pyridoxine.4.dehydrogenase..1.1.1.65."," 0"," 0"," 0"," 0"," 6"," 0"," 2"," 1"," 2"," 0","14"," 0"," 5"," 6"," 3"," 9"," 0"
"Mannitol.2.dehydrogenase..1.1.1.67.","0","0","0","1","0","1","0","0","3","0","2","2","4","4","0","2","1"
"Gluconate.5.dehydrogenase..1.1.1.69."," 0"," 0"," 0"," 0"," 1"," 3"," 0"," 0"," 0"," 4","13"," 6"," 7","13"," 5","21"," 3"
"X.S.S..butanediol.dehydrogenase..1.1.1.76.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Lactaldehyde.reductase..1.1.1.77.","0","0","0","0","0","1","0","2","2","2","3","3","2","0","0","0","0"
"Glyoxylate.reductase..NADP......1.1.1.79."," 0"," 0"," 0"," 0"," 6"," 0"," 1","10"," 6"," 1"," 3"," 4"," 3"," 2"," 8"," 1"," 0"
"Glycerol.3.phosphate.dehydrogenase..NAD......1.1.1.8.","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"Hydroxypyruvate.reductase..1.1.1.81."," 0"," 0"," 0"," 1"," 7"," 2"," 3","12"," 7"," 1"," 5"," 4"," 2","11"," 9"," 1"," 1"
"D.malate.dehydrogenase..decarboxylating...1.1.1.83.","0","0","0","0","0","0","0","0","2","4","3","0","4","0","2","0","0"
"X3.isopropylmalate.dehydrogenase..1.1.1.85."," 0"," 0"," 0"," 0","14"," 0"," 4"," 2","12"," 0","49","16","31","23","16","53"," 0"
"Ketol.acid.reductoisomerase..1.1.1.86."," 0"," 0"," 0"," 0"," 4"," 9","11","12"," 6"," 7","80"," 2","42","56","20","23"," 3"
"Hydroxymethylglutaryl.CoA.reductase..1.1.1.88."," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","22"," 0"," 3"," 8"," 3","14"," 0"
"D.xylulose.reductase..1.1.1.9.","0","1","0","0","1","3","0","0","0","0","3","1","1","0","0","1","0"
"Aryl.alcohol.dehydrogenase..1.1.1.90.","0","0","0","0","0","2","1","1","1","0","5","0","7","8","5","7","1"
"Aryl.alcohol.dehydrogenase..NADP......1.1.1.91."," 0"," 0"," 0"," 0"," 6"," 1"," 0"," 0"," 0"," 0"," 9"," 0"," 5"," 8"," 3","10"," 0"
"Tartrate.dehydrogenase..1.1.1.93.","0","0","0","0","3","0","0","0","1","2","4","0","5","6","2","7","1"
"Glycerol.3.phosphate.dehydrogenase..NAD.P.......1.1.1.94."," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 6"," 3"," 0","45"," 3","20","20"," 6","23"," 0"
"Phosphoglycerate.dehydrogenase..1.1.1.95.","  0"," 24","  0","  2"," 14"," 10","  3"," 10"," 10","  6","102","  6"," 41"," 60"," 27"," 78","  0"
"X....trans.carveol.dehydrogenase..1.1.1.n4.","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.a.cytochrome.as.acceptor..1.1.2...","0","0","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0"
"L.lactate.dehydrogenase..cytochrome...1.1.2.3."," 0"," 0"," 0"," 0","10"," 6"," 3","16"," 7"," 1","63"," 8","22","24"," 8","32"," 0"
"D.lactate.dehydrogenase..cytochrome...1.1.2.4."," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 2"," 1"," 0","26"," 0","13","15"," 8","21"," 0"
