"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"DNA.topoisomerase.type.I.activity..GO.0003917.","  0","  4","  0","  2"," 43"," 13"," 49"," 49"," 34"," 27","224"," 31","151","103"," 92","162"," 13"
"DNA.topoisomerase.type.II..ATP.hydrolyzing..activity..GO.0003918.","  0","  0","  0","  0","159"," 30","104","149","122"," 81","610"," 92","408","398","241","435"," 21"
"FMN.adenylyltransferase.activity..GO.0003919."," 0"," 0"," 0"," 0"," 3"," 5"," 6"," 9","13"," 5","24"," 7","19","12","13","24"," 0"
"GMP.reductase.activity..GO.0003920."," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 4","23"," 4"," 5","14"," 0","22"," 0"
"GMP.synthase..glutamine.hydrolyzing..activity..GO.0003922."," 0"," 0"," 0"," 0","20"," 0"," 0"," 1"," 9","13","99"," 5","51","53","46","56"," 0"
"GPI.anchor.transamidase.activity..GO.0003923.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"GTPase.activity..GO.0003924.","   0","  70","   0","   0"," 377","  70"," 206"," 261"," 251"," 264","1284"," 117"," 904"," 817"," 542"," 919","  36"
"GTP.cyclohydrolase.activity..GO.0003933.","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","3","0"
"GTP.cyclohydrolase.I.activity..GO.0003934."," 0"," 3"," 0"," 0","23"," 1"," 5"," 7","10"," 4","65"," 7","30","52","22","31"," 5"
"GTP.cyclohydrolase.II.activity..GO.0003935."," 0"," 0"," 0"," 0","25"," 0"," 9","10","17"," 6","69"," 2","43","33","26","64"," 2"
"IMP.cyclohydrolase.activity..GO.0003937.","  0","  2","  0","  0"," 30","  9"," 19"," 25"," 22"," 14","104"," 13"," 62"," 73"," 28"," 49","  0"
"IMP.dehydrogenase.activity..GO.0003938."," 0"," 0"," 0"," 0","24"," 3","15","23","24","12","75"," 8","50","72","25","60","11"
"L.iditol.2.dehydrogenase.activity..GO.0003939."," 0"," 2"," 0"," 0"," 8"," 2"," 1"," 4"," 1"," 2","11"," 4"," 6"," 8"," 1"," 4"," 0"
"L.serine.ammonia.lyase.activity..GO.0003941."," 1"," 3"," 0"," 6","13"," 8","19"," 7"," 4"," 6","55","10","42","40","32","40"," 4"
"N.acetyl.gamma.glutamyl.phosphate.reductase.activity..GO.0003942.","  0","  0","  0","  1"," 40","  4"," 11"," 13"," 18"," 14","116"," 16"," 65"," 45"," 32"," 71","  0"
"N4..beta.N.acetylglucosaminyl..L.asparaginase.activity..GO.0003948.","0","0","0","0","1","0","2","0","0","0","2","0","4","0","0","3","0"
"X1..5.phosphoribosyl..5...5.phosphoribosylamino.methylideneamino.imidazole.4.carboxamide.isomerase.activity..GO.0003949."," 0"," 1"," 0"," 0"," 7"," 2"," 0"," 7","12"," 8","33"," 3","34","16"," 7","39"," 3"
"NAD..ADP.ribosyltransferase.activity..GO.0003950.","0","0","0","4","5","0","3","1","3","0","5","0","1","2","1","3","0"
"NAD..kinase.activity..GO.0003951.","  0","  3","  0","  2"," 36","  3"," 25"," 21"," 14"," 16","100"," 11"," 71"," 56"," 31"," 72","  9"
"NAD..synthase..glutamine.hydrolyzing..activity..GO.0003952."," 0"," 0"," 0"," 0","18"," 1"," 5","10","10"," 6","95","13","45","51","27","82"," 4"
"NADH.dehydrogenase.activity..GO.0003954."," 0"," 0"," 0"," 0"," 1"," 1"," 3"," 3"," 0"," 0","11"," 0"," 8"," 9","10"," 7"," 0"
"NAD.P.H.dehydrogenase..quinone..activity..GO.0003955."," 0"," 0"," 0"," 0"," 5"," 1"," 0"," 0"," 1"," 2","10"," 7","11"," 5"," 7"," 4"," 0"
"NAD.P...protein.arginine.ADP.ribosyltransferase.activity..GO.0003956.","0","0","0","0","0","0","0","0","2","0","0","0","3","0","5","2","0"
"NAD.P...transhydrogenase..B.specific..activity..GO.0003957."," 0"," 2"," 0"," 1"," 7"," 6"," 4"," 2"," 6"," 0","20"," 4","23"," 7"," 5"," 0"," 0"
"NADPH.hemoprotein.reductase.activity..GO.0003958."," 1"," 0"," 0"," 6","10"," 2"," 0"," 4"," 2"," 4"," 8"," 5"," 8"," 1"," 4"," 8"," 0"
"NADPH.dehydrogenase.activity..GO.0003959."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0","31"," 2"," 4"," 4"," 0","20"," 0"
"NADPH.quinone.reductase.activity..GO.0003960.","0","0","0","0","4","8","0","5","2","3","4","0","5","2","2","4","0"
